"코드","코드명","결산월","회계연도","분기","자산총계(천원)","부채총계(천원)","매출액(천원)...8","매출원가(천원)","판매비와관리비(천원)","당기순이익(천원)","매출액(천원)...12","무위험수익률(%)","시장위험프리미엄(%)","상장상태","코드_join","회계연도_join","ESG등급","부채비율","부채비율_Win","매출액(천원)...21","Size","ROA","Loss_Dummy","is_esg_rated","ATO","ROA_Z","ATO_Z","Female_Ratio","매출액(천원)...30","매출액(천원)"
"A000660","SK하이닉스",12,2021,"결산",96386474000,34195416000,42997792000,24045600000,6541852000,9616188000,42997792000,2.01,12.55,"정상","000660",2021,"A",0.354774011133554,0.354774011133554,42997792000,25.2916317175254,0.0997669859777213,0,1,0.446097779238195,0.00470787212672654,-0.00681878503975292,1,42997792000,42997792000
"A000660","SK하이닉스",12,2022,"결산",103871512000,40580970000,44621568000,28993713000,8818438000,2241669000,44621568000,3.75,10.03,"정상","000660",2022,"B+",0.390684310054137,0.390684310054137,44621568000,25.3664205107472,0.0215811723237455,0,1,0.429584273308739,0.00408843854091029,-0.00694568780621747,1,44621568000,44621568000
"A000660","SK하이닉스",12,2023,"결산",100330165000,46826413000,32765719000,33299167000,7196865000,-9137547000,32765719000,3.16,11.44,"정상","000660",2023,"A",0.46672317343443,0.46672317343443,32765719000,25.3317322344655,-0.0910747729758044,1,1,0.326578940640634,0.00319591248152495,-0.00773726179008409,1,32765719000,32765719000
"A000660","SK하이닉스",12,2024,"결산",119855209000,45939505000,66192960000,34364814000,8360827000,19796902000,66192960000,2.76,14.01,"정상","000660",2024,"B+",0.38329168488622,0.38329168488622,66192960000,25.5095502595523,0.165173480278191,0,1,0.552274369652136,0.00522606049628826,-0.00600284061735933,1,66192960000,66192960000
"A005380","현대차",12,2010,"결산",118077818000,81342217000,112589679000,86059961000,17411976000,7982924000,112589679000,4.08,11.93,"정상","005380",2010,NA,0.688886518888755,0.688886518888755,112589679000,25.494609718639,0.0676073130009906,0,0,0.953520999177,0.00445308445336655,-0.00291934595918038,0,112589679000,112589679000
"A005380","현대차",12,2011,"결산",109479975000,69152273000,77797895000,58902023000,10903730000,8104863000,77797895000,3.46,11.33,"정상","005380",2011,NA,0.631643120123109,0.631643120123109,77797895000,25.4190074927758,0.0740305521626215,0,0,0.710613013932457,0.00450397309774458,-0.00478604195066446,0,77797895000,77797895000
"A005380","현대차",12,2012,"결산",121537814000,73620239000,84469721000,64972145000,11060629000,9056277000,84469721000,2.97,10.4,"정상","005380",2012,"A",0.605739370958243,0.605739370958243,84469721000,25.5234912776518,0.0745140685186258,0,1,0.695007736439953,0.00450780379613094,-0.00490596517555115,1,84469721000,84469721000
"A005380","현대차",12,2013,"결산",133421479000,76838690000,87307636000,67859491000,11132648000,8993497000,87307636000,3.23,10.13,"정상","005380",2013,"A",0.575909445584845,0.575909445584845,87307636000,25.6167789694684,0.067406665459015,0,1,0.654374667814918,0.00445149480659302,-0.00521822163038811,1,87307636000,87307636000
"A005380","현대차",12,2014,"결산",147225117000,84604552000,89256319000,70126276000,11580057000,7649468000,89256319000,2.28,9.28,"정상","005380",2014,"B+",0.57466112932347,0.57466112932347,89256319000,25.7152286604855,0.0519576289418062,0,1,0.606257415981541,0.00432909853494183,-0.00558799243486854,1,89256319000,89256319000
"A005380","현대차",12,2015,"결산",165367946000,98486545000,91958736000,73701296000,11899534000,6509165000,91958736000,1.81,9.76,"정상","005380",2015,"미공개",0.595560067003553,0.595560067003553,91958736000,25.8314388039049,0.0393617091912117,0,1,0.556085615286048,0.00422930631723473,-0.00597355200858748,1,91958736000,91958736000
"A005380","현대차",12,2016,"결산",178835928000,106491350000,93649024000,75959720000,12495804000,5719653000,93649024000,1.8,9.89,"정상","005380",2016,"B+",0.595469552404481,0.595469552404481,93649024000,25.9097346191031,0.0319826841505807,0,1,0.523658892524102,0.00417084538005021,-0.00622274444800339,1,93649024000,93649024000
"A005380","현대차",12,2017,"결산",178199454000,103442100000,96376079000,78798172000,13003240000,4546400000,96376079000,2.34,10.88,"정상","005380",2017,"B+",0.580484943573396,0.580484943573396,96376079000,25.906169288011,0.025512985017339,0,1,0.540832627915908,0.00411958865269821,-0.00609076795911843,1,96376079000,96376079000
"A005380","현대차",12,2018,"결산",180655752000,106759742000,96812609000,81670479000,12719965000,1645019000,96812609000,1.88,10.66,"정상","005380",2018,"B+",0.590956782820843,0.590956782820843,96812609000,25.9198591346144,0.00910582133028346,0,1,0.535895524655091,0.00398960153916984,-0.00612870854331632,1,96812609000,96812609000
"A005380","현대차",12,2019,"결산",194512220000,118146466000,105746422000,88091409000,14049508000,3185646000,105746422000,1.48,10.05,"정상","005380",2019,"B+",0.60739868168694,0.60739868168694,105746422000,25.9937608258,0.0163776137046814,0,1,0.543649247332635,0.00404721291667266,-0.00606912284041454,1,105746422000,105746422000
"A005380","현대차",12,2020,"결산",209344212000,133003242000,103997601000,85515931000,16086999000,1924553000,103997601000,1.34,11.56,"정상","005380",2020,"A",0.635332788661002,0.635332788661002,103997601000,26.0672456815538,0.00919324676623971,0,1,0.496778009797567,0.00399029417442878,-0.0064293182911097,1,103997601000,103997601000
"A005380","현대차",12,2021,"결산",233946415000,151330626000,117610626000,95680131000,15251546000,5693077000,117610626000,2.01,12.55,"정상","005380",2021,"A",0.646860205145695,0.646860205145695,117610626000,26.1783579303584,0.0243349614910748,0,1,0.502724634613443,0.00411025566372045,-0.00638361974935332,1,117610626000,117610626000
"A005380","현대차",12,2022,"결산",255742462000,164845917000,142527535000,114209483000,18498283000,7983614000,142527535000,3.75,10.03,"정상","005380",2022,"B+",0.644577813597493,0.644577813597493,142527535000,26.2674367672519,0.0312173971329016,0,1,0.557308840641411,0.00416478233025402,-0.00596415178296197,1,142527535000,142527535000
"A005380","현대차",12,2023,"결산",282463355000,180653915000,162663579000,129179183000,18357495000,12272301000,162663579000,3.16,11.44,"정상","005380",2023,"A",0.639565847399922,0.639565847399922,162663579000,26.3668146623083,0.0434474093108467,0,1,0.575874980313818,0.00426167561490395,-0.00582147496454069,1,162663579000,162663579000
"A005380","현대차",12,2024,"결산",339798429000,219522496000,175231153000,139481946000,21509615000,13229908000,175231153000,2.76,14.01,"정상","005380",2024,"A",0.646037407077006,0.646037407077006,175231153000,26.5516184228687,0.0389345767104768,0,1,0.515691474841986,0.0042259223247712,-0.00628397235137886,1,175231153000,175231153000
"A373220","LG에너지솔루션",12,2010,"결산",197205567.5,77859089,153248051,92273272,24110157,4351695,153248051,2.34,10.66,"정상","373220",2010,NA,0.394811819904628,0.394811819904628,153248051,19.0997572375637,0.0220667958575764,0,0,0.777097994456977,0.00409228593358755,-0.00427511907378136,0,153248051,153248051
"A373220","LG에너지솔루션",12,2011,"결산",197205567.5,77859089,153248051,92273272,24110157,4351695,153248051,2.34,10.66,"정상","373220",2011,NA,0.394811819904628,0.394811819904628,153248051,19.0997572375637,0.0220667958575764,0,0,0.777097994456977,0.00409228593358755,-0.00427511907378136,0,153248051,153248051
"A373220","LG에너지솔루션",12,2012,"결산",197205567.5,77859089,153248051,92273272,24110157,4351695,153248051,2.34,10.66,"정상","373220",2012,NA,0.394811819904628,0.394811819904628,153248051,19.0997572375637,0.0220667958575764,0,0,0.777097994456977,0.00409228593358755,-0.00427511907378136,0,153248051,153248051
"A373220","LG에너지솔루션",12,2013,"결산",197205567.5,77859089,153248051,92273272,24110157,4351695,153248051,2.34,10.66,"정상","373220",2013,NA,0.394811819904628,0.394811819904628,153248051,19.0997572375637,0.0220667958575764,0,0,0.777097994456977,0.00409228593358755,-0.00427511907378136,0,153248051,153248051
"A373220","LG에너지솔루션",12,2014,"결산",197205567.5,77859089,153248051,92273272,24110157,4351695,153248051,2.34,10.66,"정상","373220",2014,NA,0.394811819904628,0.394811819904628,153248051,19.0997572375637,0.0220667958575764,0,0,0.777097994456977,0.00409228593358755,-0.00427511907378136,0,153248051,153248051
"A373220","LG에너지솔루션",12,2015,"결산",197205567.5,77859089,153248051,92273272,24110157,4351695,153248051,2.34,10.66,"정상","373220",2015,NA,0.394811819904628,0.394811819904628,153248051,19.0997572375637,0.0220667958575764,0,0,0.777097994456977,0.00409228593358755,-0.00427511907378136,0,153248051,153248051
"A373220","LG에너지솔루션",12,2016,"결산",197205567.5,77859089,153248051,92273272,24110157,4351695,153248051,2.34,10.66,"정상","373220",2016,NA,0.394811819904628,0.394811819904628,153248051,19.0997572375637,0.0220667958575764,0,0,0.777097994456977,0.00409228593358755,-0.00427511907378136,0,153248051,153248051
"A373220","LG에너지솔루션",12,2017,"결산",197205567.5,77859089,153248051,92273272,24110157,4351695,153248051,2.34,10.66,"정상","373220",2017,NA,0.394811819904628,0.394811819904628,153248051,19.0997572375637,0.0220667958575764,0,0,0.777097994456977,0.00409228593358755,-0.00427511907378136,0,153248051,153248051
