"코드","코드명","회계연도","ROA","ROA_Win","Size","부채비율","부채비율_Win","ESG평가","Loss_Dummy","ATO","Female_Ratio"
"A023530","롯데쇼핑",2020,-0.0209132521534964,-0.0209132521534964,24.2145904201685,0.662230770293691,0.662230770293691,1,1,0.492984333903079,1
"A023530","롯데쇼핑",2021,-0.0081660921074875,-0.0081660921074875,24.2326158472885,0.647076578717999,0.647076578717999,1,1,0.46590382740037,1
"A023530","롯데쇼핑",2022,-0.0100522553757543,-0.0100522553757543,24.179695315064,0.65192832410435,0.65192832410435,1,1,0.488147952741823,1
"A023530","롯데쇼핑",2023,0.00552070808960383,0.00552070808960383,24.145725521824,0.646384197601497,0.646384197601497,1,0,0.474987991362596,1
"A023530","롯데쇼핑",2024,-0.0254871198537744,-0.0254871198537744,24.3869055463367,0.563274675419803,0.563274675419803,1,1,0.358602217309441,1
"A002790","아모레퍼시픽홀딩스",2010,0.0870428116980005,0.0870428116980005,21.9202895926645,0.205472540041433,0.205472540041433,0,0,0.807834523845029,0
"A002790","아모레퍼시픽홀딩스",2011,0.0883975205152123,0.0883975205152123,22.1713287726134,0.210881653958538,0.210881653958538,0,0,0.718827337155816,0
"A002790","아모레퍼시픽홀딩스",2012,0.0765506462367351,0.0765506462367351,22.2308824794194,0.19525034566433,0.19525034566433,1,0,0.759913141132837,1
"A002790","아모레퍼시픽홀딩스",2013,0.072128267532617,0.072128267532617,22.3169515623606,0.205798227851823,0.205798227851823,1,0,0.79144747608743,1
"A002790","아모레퍼시픽홀딩스",2014,0.0904452168714036,0.0904452168714036,22.4279639615728,0.213894285194887,0.213894285194887,1,0,0.856760427722492,1
"A002790","아모레퍼시픽홀딩스",2015,0.109620795847205,0.109620795847205,22.5393876522003,0.204972545409769,0.204972545409769,1,0,0.920825293920491,1
"A002790","아모레퍼시픽홀딩스",2016,0.114486919388345,0.114486919388345,22.6817248064544,0.214648992885373,0.214648992885373,1,0,0.944862761115714,1
"A002790","아모레퍼시픽홀딩스",2017,0.0667392238776727,0.0667392238776727,22.7159554234839,0.191304329929149,0.191304329929149,1,0,0.82193182633366,1
"A002790","아모레퍼시픽홀딩스",2018,0.050934363061237,0.050934363061237,22.7230382239335,0.154981228673184,0.154981228673184,1,0,0.822779358901548,1
"A002790","아모레퍼시픽홀딩스",2019,0.0341011406451121,0.0341011406451121,22.83727704421,0.217505228269483,0.217505228269483,1,0,0.75884033933849,1
"A002790","아모레퍼시픽홀딩스",2020,0.00283071097628634,0.00283071097628634,22.7759454002528,0.194729843462815,0.194729843462815,1,0,0.632975406970644,1
"A002790","아모레퍼시픽홀딩스",2021,0.0363241669711578,0.0363241669711578,22.8074639149751,0.194387953438796,0.194387953438796,1,0,0.662600808676439,1
"A002790","아모레퍼시픽홀딩스",2022,0.0195036385919056,0.0195036385919056,22.7581026921245,0.14605932620945,0.14605932620945,1,0,0.587498964046064,1
"A002790","아모레퍼시픽홀딩스",2023,0.0307562965357215,0.0307562965357215,22.7555411848465,0.144966098911524,0.144966098911524,1,0,0.5269448359006,1
"A002790","아모레퍼시픽홀딩스",2024,0.0764441650090989,0.0764441650090989,22.8680878996746,0.181349737224194,0.181349737224194,1,0,0.498785318895068,1
"A005290","동진쎄미켐",2010,0.0312690772500065,0.0312690772500065,20.0200893687963,0.730103486428037,0.730103486428037,0,0,0.8283216031223,0
"A005290","동진쎄미켐",2011,-0.0121282532337712,-0.0121282532337712,20.132246181558,0.758232410994053,0.758232410994053,0,1,0.826025403904807,0
"A005290","동진쎄미켐",2012,0.0120616036176224,0.0120616036176224,20.2034910031885,0.774425967950583,0.774425967950583,0,0,0.960605373647365,0
"A005290","동진쎄미켐",2013,0.00612343851299562,0.00612343851299562,20.2470006449691,0.777020236761095,0.777020236761095,0,0,1.05366858016325,0
"A005290","동진쎄미켐",2014,0.0167886257761892,0.0167886257761892,20.2668461113037,0.771631817860568,0.771631817860568,0,0,1.05686638065913,0
"A005290","동진쎄미켐",2015,0.0304082009544697,0.0304082009544697,20.3011673144175,0.739994742198118,0.739994742198118,0,0,1.08177668040367,0
"A005290","동진쎄미켐",2016,0.0401121787179342,0.0401121787179342,20.3040948651313,0.700533597779066,0.700533597779066,0,0,1.16326875327079,0
"A005290","동진쎄미켐",2017,0.0674441038371578,0.0674441038371578,20.3185546285844,0.598903205183457,0.598903205183457,0,0,1.17684429212965,0
"A005290","동진쎄미켐",2018,0.0630656239874933,0.0630656239874933,20.449423221234,0.597746847443633,0.597746847443633,0,0,1.08781545203312,0
"A005290","동진쎄미켐",2019,0.0698137363521766,0.0698137363521766,20.549758281271,0.571360305045113,0.571360305045113,1,0,1.04108829942731,1
"A005290","동진쎄미켐",2020,0.0887371235816488,0.0887371235816488,20.6832683222409,0.544117401764823,0.544117401764823,1,0,0.97607075187586,1
"A005290","동진쎄미켐",2021,0.0867308772132887,0.0867308772132887,20.8940116062564,0.527028633807831,0.527028633807831,1,0,0.979004135111188,1
"A005290","동진쎄미켐",2022,0.113654161973956,0.113654161973956,21.0412129168298,0.490078175088439,0.490078175088439,1,0,1.06032966967639,1
"A005290","동진쎄미켐",2023,0.076892369993991,0.076892369993991,21.1973785299147,0.479965222596546,0.479965222596546,1,0,0.815345574587679,1
"A005290","동진쎄미켐",2024,0.0711379981678562,0.0711379981678562,21.4248716442427,0.494082219346637,0.494082219346637,1,0,0.698141722094456,1
"A204320","HL만도",2010,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A204320","HL만도",2011,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A204320","HL만도",2012,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A204320","HL만도",2013,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A204320","HL만도",2014,0.0124512679432419,0.0124512679432419,22.0704179107976,0.714505509701731,0.714505509701731,0,0,0.44753833737,0
"A204320","HL만도",2015,0.0311489740767628,0.0311489740767628,22.1487354854282,0.671677996790312,0.671677996790312,0,0,1.27390181266292,0
"A204320","HL만도",2016,0.0470571326499746,0.0470571326499746,22.2193900918326,0.660633059886919,0.660633059886919,1,0,1.31404753906813,1
"A204320","HL만도",2017,0.00410037479597571,0.00410037479597571,22.2164001493194,0.682712183692931,0.682712183692931,1,0,1.2771676777119,1
"A204320","HL만도",2018,0.0254497703757889,0.0254497703757889,22.2133063144075,0.666063345726408,0.666063345726408,1,0,1.27664671734247,1
"A204320","HL만도",2019,0.0257287655750406,0.0257287655750406,22.2483696767745,0.654972724346337,0.654972724346337,1,0,1.30164726482199,1
"A204320","HL만도",2020,0.00280689874707723,0.00280689874707723,22.3202963521826,0.653815074857595,0.653815074857595,1,0,1.12659262249367,1
"A204320","HL만도",2021,0.0313121294081933,0.0313121294081933,22.4644976591305,0.641633091184653,0.641633091184653,1,0,1.077671605201,1
"A204320","HL만도",2022,0.0202344947056481,0.0202344947056481,22.4889963749746,0.611048957079584,0.611048957079584,1,0,1.28572831825371,1
"A204320","HL만도",2023,0.0245916083732466,0.0245916083732466,22.5617021902094,0.625215930601962,0.625215930601962,1,0,1.33505436519298,1
"A204320","HL만도",2024,0.0224401909339059,0.0224401909339059,22.6765832029949,0.620995680859166,0.620995680859166,1,0,1.25469765827054,1
"A257720","실리콘투",2010,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A257720","실리콘투",2011,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A257720","실리콘투",2012,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A257720","실리콘투",2013,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A257720","실리콘투",2014,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A257720","실리콘투",2015,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A257720","실리콘투",2016,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A257720","실리콘투",2017,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A257720","실리콘투",2018,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A257720","실리콘투",2019,0.135971580144447,0.135971580144447,17.3509174522756,0.478765888956565,0.478765888956565,0,0,1.89142338311458,0
"A257720","실리콘투",2020,0.108001807699828,0.108001807699828,17.7843810277815,0.327245988433835,0.327245988433835,0,0,1.8781082547519,0
"A257720","실리콘투",2021,0.0847519814773386,0.0847519814773386,18.3942596095786,0.113959820554531,0.113959820554531,0,0,1.34509325175442,0
"A257720","실리콘투",2022,0.0863331918548119,0.0863331918548119,18.6769984339082,0.254065848774082,0.254065848774082,0,0,1.27903480083738,0
"A257720","실리콘투",2023,0.176583383363785,0.176583383363785,19.1874062228422,0.373105475392894,0.373105475392894,0,0,1.59269802804109,0
"A257720","실리콘투",2024,0.263759222688515,0.22059783773428973,19.9418537194733,0.428546749030097,0.428546749030097,0,0,1.51066860829327,0
"A226950","올릭스",2010,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A226950","올릭스",2011,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A226950","올릭스",2012,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A226950","올릭스",2013,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A226950","올릭스",2014,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A226950","올릭스",2015,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A226950","올릭스",2016,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A226950","올릭스",2017,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A226950","올릭스",2018,-0.139152264036923,-0.139152264036923,17.8343580529174,0.0125624796156137,0.081336581632857,0,1,0.00542804775804912,0
"A226950","올릭스",2019,-0.317487478067415,-0.317487478067415,17.6267686937803,0.075208043377262307,0.081336581632857,0,1,0.0250032080010832,0
"A226950","올릭스",2020,-0.246693850745773,-0.246693850745773,18.1795942642795,0.422850964487662,0.422850964487662,1,1,0.0314883550563403,1
"A226950","올릭스",2021,-0.349339003170737,-0.34286930479304417,18.277641148436,0.776082381601231,0.776082381601231,0,1,0.0423938307901006,0
"A226950","올릭스",2022,-0.165002350520326,-0.165002350520326,18.7032358032049,0.500928636453962,0.500928636453962,0,1,0.0702617415199589,0
"A226950","올릭스",2023,-0.185768895808949,-0.185768895808949,18.448539568069,0.510469919538089,0.510469919538089,0,1,0.16595445370559,0
"A226950","올릭스",2024,-0.570654620163874,-0.34286930479304417,18.0816945279314,0.740731934407259,0.740731934407259,0,1,0.0796801918942951,0
"A009420","한올바이오파마",2010,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A009420","한올바이오파마",2011,-0.137742426648142,-0.137742426648142,18.4738026269522,0.519217896905752,0.519217896905752,0,1,0.83164309306563,0
"A009420","한올바이오파마",2012,-0.023517233516301,-0.023517233516301,18.6380042717385,0.366962442022248,0.366962442022248,1,1,0.611768611559261,1
"A009420","한올바이오파마",2013,-0.219709198015992,-0.219709198015992,18.3989626338899,0.390646389212923,0.390646389212923,1,1,0.758580467594184,1
"A009420","한올바이오파마",2014,-0.145209505980457,-0.145209505980457,18.2833844214368,0.474488800984206,0.474488800984206,1,1,0.927825704610401,1
"A009420","한올바이오파마",2015,-0.0604253834871674,-0.0604253834871674,18.5787571053416,0.187057057621632,0.187057057621632,1,1,0.683220286277047,1
"A009420","한올바이오파마",2016,0.0162431863373498,0.0162431863373498,18.6416685653496,0.163338664092676,0.163338664092676,1,0,0.664483100540433,1
"A009420","한올바이오파마",2017,0.0344600323089738,0.0344600323089738,18.9436061571265,0.340836862753704,0.340836862753704,1,0,0.49930633912939,1
"A009420","한올바이오파마",2018,0.0203328028217213,0.0203328028217213,18.9049837357635,0.279635670601598,0.279635670601598,1,0,0.565846575396111,1
"A009420","한올바이오파마",2019,0.100188154769095,0.100188154769095,19.0697893247598,0.266302674114327,0.266302674114327,1,0,0.56667422723171,1
"A009420","한올바이오파마",2020,0.0897845851709147,0.0897845851709147,19.2097398868456,0.176525320796553,0.176525320796553,1,0,0.402495305201077,1
"A009420","한올바이오파마",2021,0.0448218227725765,0.0448218227725765,19.1061878432762,0.176269895769958,0.176269895769958,1,0,0.511868034816286,1
"A009420","한올바이오파마",2022,0.00117813327412355,0.00117813327412355,19.1789189523649,0.211733478250744,0.211733478250744,1,0,0.515318733249013,1
"A009420","한올바이오파마",2023,0.0146346277636108,0.0146346277636108,19.2950947335887,0.223271300841717,0.223271300841717,1,0,0.562717539485469,1
"A009420","한올바이오파마",2024,-0.00847819368044355,-0.00847819368044355,19.1762420313038,0.20917453706034,0.20917453706034,1,1,0.652683690935583,1
"A000120","CJ대한통운",2010,0.0190255166742318,0.0190255166742318,21.9951459098657,0.447144868776308,0.447144868776308,0,0,0.716073349695375,0
"A000120","CJ대한통운",2011,0.022528697021817,0.022528697021817,22.002855254904,0.370072391860234,0.370072391860234,0,0,0.719813871698744,0
"A000120","CJ대한통운",2012,0.0189595026691486,0.0189595026691486,22.0233216232972,0.365564332618185,0.365564332618185,1,0,0.755748614628736,1
"A000120","CJ대한통운",2013,-0.0130320533785909,-0.0130320533785909,22.2512161474165,0.512184052867077,0.512184052867077,1,1,0.823448721183046,1
"A000120","CJ대한통운",2014,0.0130868640133873,0.0130868640133873,22.2368217481175,0.497967702850629,0.497967702850629,1,0,1.0037930314376,1
"A000120","CJ대한통운",2015,0.0108841513229816,0.0108841513229816,22.2274519089284,0.473011702889897,0.473011702889897,1,0,1.12338155522735,1
"A000120","CJ대한통운",2016,0.0123542376653351,0.0123542376653351,22.4318598043174,0.503863531187793,0.503863531187793,1,0,1.10156366550472,1
"A000120","CJ대한통운",2017,0.00616391825497632,0.00616391825497632,22.5652348896344,0.558922112901191,0.558922112901191,1,0,1.12703265748069,1
"A000120","CJ대한통운",2018,0.00846406606239927,0.00846406606239927,22.786141770466,0.602120954231846,0.602120954231846,1,0,1.17171026702001,1
"A000120","CJ대한통운",2019,0.0055861432499706,0.0055861432499706,22.9326403167129,0.598766321830357,0.598766321830357,1,0,1.14325907882505,1
"A000120","CJ대한통운",2020,0.0147895739494122,0.0147895739494122,22.9895498424732,0.581070908105329,0.581070908105329,1,0,1.11796840490352,1
"A000120","CJ대한통운",2021,0.0175985050046177,0.0175985050046177,22.9198155774092,0.553436751042107,0.553436751042107,1,0,1.26125660959167,1
"A000120","CJ대한통운",2022,0.0203049310034248,0.0203049310034248,22.9947007434755,0.583804440825354,0.583804440825354,1,0,1.25145338427208,1
"A000120","CJ대한통운",2023,0.0259549869074173,0.0259549869074173,22.9594533236946,0.567933899237234,0.567933899237234,1,0,1.25757776307361,1
"A000120","CJ대한통운",2024,0.0275373847030241,0.0275373847030241,22.9999027205257,0.566331844262335,0.566331844262335,1,0,1.24352840819965,1
"A028670","팬오션",2010,0.0131496431960126,0.0131496431960126,22.5159012559184,0.594451562280921,0.594451562280921,0,0,1.07728011019676,0
"A028670","팬오션",2011,-0.0031332280372601,-0.0031332280372601,22.6715169582154,0.653836308788288,0.653836308788288,0,1,0.818391638112162,0
"A028670","팬오션",2012,-0.0652941421630946,-0.0652941421630946,22.6904036480137,0.75120353579811,0.75120353579811,1,1,0.75772141184658,1
"A028670","팬오션",2013,-0.391318139336071,-0.34286930479304417,22.3084374910932,0.950633682019471,0.906242014480863,1,1,0.551460422460144,1
"A028670","팬오션",2014,0.172463815811125,0.172463815811125,22.2401344102584,0.687888800398426,0.687888800398426,0,0,0.361034724096245,0
"A028670","팬오션",2015,0.0105572558505652,0.0105572558505652,22.1851972151526,0.436421199902464,0.436421199902464,0,0,0.421695233786186,0
"A028670","팬오션",2016,0.0224190571106481,0.0224190571106481,22.1889825597497,0.40751102722319,0.40751102722319,1,0,0.432726664797815,1
"A028670","팬오션",2017,0.0362768022079098,0.0362768022079098,22.082795703366,0.381220338530419,0.381220338530419,1,0,0.599903142029426,1
"A028670","팬오션",2018,0.0360832975684404,0.0360832975684404,22.1389966629706,0.354183861326725,0.354183861326725,1,0,0.647737732965392,1
"A028670","팬오션",2019,0.0331659473792802,0.0331659473792802,22.2171081447764,0.349031033117903,0.349031033117903,1,0,0.554062175795888,1
"A028670","팬오션",2020,0.0194710523644295,0.0194710523644295,22.2621368542681,0.397627168043797,0.397627168043797,1,0,0.535948432037502,1
"A028670","팬오션",2021,0.0846546014280961,0.0846546014280961,22.5933402145236,0.445683540770922,0.445683540770922,1,0,0.711398400222908,1
"A028670","팬오션",2022,0.089692171432765,0.089692171432765,22.74467325807,0.40486971551775103,0.40486971551775103,1,0,0.850491631807477,1
"A028670","팬오션",2023,0.0311997306831496,0.0311997306831496,22.7842819177285,0.399874789055081,0.399874789055081,1,0,0.555259992874919,1
"A028670","팬오션",2024,0.0261055194827321,0.0261055194827321,23.0526394909346,0.449605247760163,0.449605247760163,1,0,0.50247918854353,1
"A051600","한전KPS",2010,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A051600","한전KPS",2011,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,0,0,0.777097994456977,0
"A051600","한전KPS",2012,0.0220667958575764,0.0220667958575764,19.0997572375637,0.394811819904628,0.394811819904628,1,0,0.777097994456977,1
"A051600","한전KPS",2013,0.18076225255191,0.18076225255191,20.5502234555341,0.260416998002832,0.260416998002832,1,0,1.33848417255988,1
"A051600","한전KPS",2014,0.181834250401699,0.181834250401699,20.6458922825784,0.245826369622795,0.245826369622795,1,0,1.17285673277093,1
"A051600","한전KPS",2015,0.164417536225677,0.164417536225677,20.7562741633151,0.239266335589596,0.239266335589596,1,0,1.14141018136065,1
"A051600","한전KPS",2016,0.0808101641536695,0.0808101641536695,20.8117058584373,0.277081101795385,0.277081101795385,1,0,1.11958024061513,1
"A051600","한전KPS",2017,0.113299179743083,0.113299179743083,20.9055855654054,0.245770027054341,0.245770027054341,1,0,1.03065106023256,1
"A051600","한전KPS",2018,0.125949164522296,0.125949164522296,20.9708454809282,0.231696938463534,0.231696938463534,1,0,0.969967453310708,1
"A051600","한전KPS",2019,0.112790622519129,0.112790622519129,21.0303337778036,0.217748999201561,0.217748999201561,1,0,0.917256976909846,1
"A051600","한전KPS",2020,0.0644938924673844,0.0644938924673844,21.0232734558061,0.220900935496715,0.220900935496715,1,0,0.965428258702162,1
"A051600","한전KPS",2021,0.0691561591139998,0.0691561591139998,21.0787841984014,0.220702670839482,0.220702670839482,1,0,0.967505754327011,1
